"player_id","player_name","last_name","team","first_name"
23459,"Aaron Rodgers","Rodgers","NYJ","Aaron"
26158,"Joe Flacco","Flacco","IND","Joe"
26300,"Josh Johnson","Johnson","BAL","Josh"
26498,"Matthew Stafford","Stafford","LA","Matthew"
27973,"Andy Dalton","Dalton","CAR","Andy"
28118,"Tyrod Taylor","Taylor","NYJ","Tyrod"
29263,"Russell Wilson","Wilson","PIT","Russell"
29604,"Kirk Cousins","Cousins","ATL","Kirk"
30565,"Geno Smith","Smith","SEA","Geno"
31237,"Teddy Bridgewater","Bridgewater","DET","Teddy"
31280,"Derek Carr","Carr","NO","Derek"
31345,"Jimmy Garoppolo","Garoppolo","LA","Jimmy"
31503,"Jameis Winston","Winston","CLE","Jameis"
31800,"Taylor Heinicke","Heinicke","LAC","Taylor"
32268,"Marcus Mariota","Mariota","WAS","Marcus"
32434,"Brandon Allen","Allen","SF","Brandon"
32950,"Carson Wentz","Wentz","KC","Carson"
33077,"Dak Prescott","Prescott","DAL","Dak"
33106,"Jared Goff","Goff","DET","Jared"
33119,"Jacoby Brissett","Brissett","NE","Jacoby"
33319,"Nick Mullens","Mullens","MIN","Nick"
33537,"DeShaun Watson","Watson","CLE","DeShaun"
33662,"Caleb Rush","Rush","DAL","Caleb"
33869,"Mitch Trubisky","Trubisky","BUF","Mitch"
33873,"Patrick Mahomes","Mahomes","KC","Patrick"
33949,"Josh Dobbs","Dobbs","SF","Josh"
34177,"Tim Boyle","Boyle","MIA","Tim"
34401,"Mike White","White","BUF","Mike"
34577,"Kyle Allen","Allen","PIT","Kyle"
34771,"Mason Rudolph","Rudolph","TEN","Mason"
34796,"Lamar Jackson","Jackson","BAL","Lamar"
34855,"Baker Mayfield","Mayfield","TB","Baker"
34857,"Josh Allen","Allen","BUF","Josh"
34869,"Sam Darnold","Darnold","MIN","Sam"
35100,"Jake Browning","Browning","CIN","Jake"
35228,"Kyler Murray","Murray","ARI","Kyler"
35264,"Jared Stidham","Stidham","DEN","Jared"
35289,"Gardner Minshew","Minshew","LV","Gardner"
35704,"Drew Lock","Lock","NYG","Drew"
35710,"Daniel Jones","Jones","NYG","Daniel"
35993,"Tyler Huntley","Huntley","MIA","Tyler"
36212,"Tua Tagovailoa","Tagovailoa","MIA","Tua"
36264,"Jordan Love","Love","GB","Jordan"
36355,"Justin Herbert","Herbert","LAC","Justin"
36389,"Jalen Hurts","Hurts","PHI","Jalen"
36442,"Joe Burrow","Burrow","CIN","Joe"
36898,"Davis Mills","Mills","HOU","Davis"
36928,"Kyle Trask","Trask","TB","Kyle"
36945,"Justin Fields","Fields","PIT","Justin"
36971,"Trevor Lawrence","Lawrence","JAX","Trevor"
36972,"Mack Jones","Jones","JAX","Mack"
37012,"Trey Lance","Lance","DAL","Trey"
37077,"Sam Howell","Howell","SEA","Sam"
37324,"Chris Oladokun","Oladokun","KC","Chris"
37327,"Skyler Thompson","Thompson","MIA","Skyler"
37834,"Brock Purdy","Purdy","SF","Brock"
38102,"Kenny Pickett","Pickett","PHI","Kenny"
38108,"Bailey Zappe","Zappe","CLE","Bailey"
38122,"Desmond Ridder","Ridder","LV","Desmond"
38128,"Malik Willis","Willis","GB","Malik"
38400,"Tanner McKee","McKee","PHI","Tanner"
38416,"Tyson Bagent","Bagent","CHI","Tyson"
38476,"Tommy DeVito","DeVito","NYG","Tommy"
38550,"Hendon Hooker","Hooker","DET","Hendon"
38579,"Aiden O'Connell","O'Connell","LV","Aiden"
38582,"Clayton Tune","Tune","ARI","Clayton"
38583,"Dorian Thompson-Robinson","Thompson-Robinson","CLE","Dorian"
38998,"Jake Haener","Haener","NO","Jake"
39150,"Bryce Young","Young","CAR","Bryce"
39152,"Will Levis","Levis","TEN","Will"
39163,"C.J. Stroud","Stroud","HOU","C.J."
39164,"Anthony Richardson","Richardson","IND","Anthony"
39376,"Spencer Rattler","Rattler","NO","Spencer"
39398,"Joe Milton","Milton","NE","Joe"
39732,"Bo Nix","Nix","DEN","Bo"
39851,"Drake Maye","Maye","NE","Drake"
39910,"Jayden Daniels","Daniels","WAS","Jayden"
39917,"Michael Penix","Penix","ATL","Michael"
39918,"Caleb Williams","Williams","CHI","Caleb"
