"team_abbr","team_color","team_color2"
"ARI","#97233F","#000000"
"ATL","#A71930","#000000"
"BAL","#241773","#9E7C0C"
"BUF","#00338D","#C60C30"
"CAR","#0085CA","#000000"
"CHI","#0B162A","#C83803"
"CIN","#FB4F14","#000000"
"CLE","#FF3C00","#311D00"
"DAL","#002244","#B0B7BC"
"DEN","#002244","#FB4F14"
"DET","#0076B6","#B0B7BC"
"GB","#203731","#FFB612"
"HOU","#03202F","#A71930"
"IND","#002C5F","#a5acaf"
"JAX","#006778","#000000"
"KC","#E31837","#FFB612"
"LA","#003594","#FFD100"
"LAC","#007BC7","#ffc20e"
"LAR","#003594","#FFD100"
"LV","#000000","#A5ACAF"
"MIA","#008E97","#F58220"
"MIN","#4F2683","#FFC62F"
"NE","#002244","#C60C30"
"NO","#D3BC8D","#000000"
"NYG","#0B2265","#A71930"
"NYJ","#003F2D","#000000"
"OAK","#000000","#A5ACAF"
"PHI","#004C54","#A5ACAF"
"PIT","#000000","#FFB612"
"SD","#007BC7","#ffc20e"
"SEA","#002244","#69be28"
"SF","#AA0000","#B3995D"
"STL","#003594","#FFD100"
"TB","#A71930","#322F2B"
"TEN","#002244","#4B92DB"
"WAS","#5A1414","#FFB612"
